,searchTime,maxPage,page,themeName,themeTime,themeNum,viewNum,themeAddress
12,2023-05-01 00:43:50,5,5,異世界迷宮裡的後宮生活,年份：2022/07,共12集,113.2萬,https://animeRef.php?sn=113075
13,2023-05-01 00:43:50,5,5,新網球王子 U-17 世界盃,年份：2022/07,共13集,17.5萬,https://animeRef.php?sn=113088
14,2023-05-01 00:43:50,5,5,OVERLORD 第四季,年份：2022/07,共13集,422.9萬,https://animeRef.php?sn=113072
15,2023-05-01 00:43:50,5,5,轉生賢者的異世界生活～取得第二職業，成為世界最強～,年份：2022/07,共12集,145.2萬,https://animeRef.php?sn=113069
16,2023-05-01 00:43:50,5,5,歡迎來到實力至上主義的教室 第二季,年份：2022/07,共13集,381.4萬,https://animeRef.php?sn=113070
17,2023-05-01 00:43:50,5,5,森林裡的熊先生，冬眠中。,年份：2022/07,共9集,14.5萬,https://animeRef.php?sn=113096
18,2023-05-01 00:43:50,5,5,卡片戰鬥!! 先導者 will+Dress,年份：2022/07,共13集,3.4萬,https://animeRef.php?sn=113098
19,2023-05-01 00:43:50,5,5,幽零幻鏡,年份：2022/07,共12集,6.6萬,https://animeRef.php?sn=113085
20,2023-05-01 00:43:50,5,5,Lycoris Recoil 莉可麗絲,年份：2022/07,共13集,584.6萬,https://animeRef.php?sn=113086
21,2023-05-01 00:43:50,5,5,足球風雲！Goal to the Future,年份：2022/07,共13集,8.9萬,https://animeRef.php?sn=113087
22,2023-05-01 00:43:50,5,5,契約之吻,年份：2022/07,共13集,195.9萬,https://animeRef.php?sn=113089
23,2023-05-01 00:43:50,5,5,聯盟空軍航空魔法音樂隊 光輝魔女,年份：2022/07,共13集,21.1萬,https://animeRef.php?sn=113093
24,2023-05-01 00:43:50,5,5,出租女友 第二季,年份：2022/07,共12集,133.2萬,https://animeRef.php?sn=113080
25,2023-05-01 00:43:50,5,5,神渣☆偶像,年份：2022/07,共10集,29.6萬,https://animeRef.php?sn=113081
26,2023-05-01 00:43:50,5,5,冰冰冰 冰淇淋君 第二季,年份：2022/07,共12集,1.4萬,https://animeRef.php?sn=113083
27,2023-05-01 00:43:50,5,5,衝鋒戰士：翁法洛斯島的秘密,年份：2022/07,共1集,1856,https://animeRef.php?sn=113179
